book_rating,book_title,paperback_price
4.7 out of 5 stars,It Starts with Us: A Novel (It Ends with Us),$12.98
4.7 out of 5 stars,It Ends with Us: A Novel (1),$9.99
4.6 out of 5 stars,Verity,$11.26
4.9 out of 5 stars,Harry Potter Paperback Box Set (Books 1-7),$38.86
4.7 out of 5 stars,The 48 Laws of Power,$11.60
4.8 out of 5 stars,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",$11.40
4.7 out of 5 stars,Reminders of Him: A Novel,$9.57
4.7 out of 5 stars,Ugly Love: A Novel,$10.40
4.8 out of 5 stars,Where the Crawdads Sing,$9.98
4.6 out of 5 stars,The Seven Husbands of Evelyn Hugo: A Novel,$9.42
4.0 out of 5 stars,Luckiest Girl Alive: A Novel,$10.94
4.7 out of 5 stars,November 9: A Novel,$9.99
4.7 out of 5 stars,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),$7.74
4.8 out of 5 stars,"The Love Prescription: Seven Days to More Intimacy, Connection, and Joy (The Seven Days Series)",$12.99
4.5 out of 5 stars,The Silent Patient,$11.91
4.7 out of 5 stars,How to Win Friends & Influence People,$10.50
4.5 out of 5 stars,Things We Never Got Over (Knockemout),$13.67
4.8 out of 5 stars,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",$4.07
4.5 out of 5 stars,Fire & Blood: 300 Years Before A Game of Thrones (The Targaryen Dynasty: The House of the Dragon),$15.49
4.9 out of 5 stars,Room on the Broom,$6.79
4.5 out of 5 stars,"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",$12.90
4.8 out of 5 stars,What to Expect When You're Expecting,$12.70
4.8 out of 5 stars,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,$18.54
4.6 out of 5 stars,The Official ACT Prep Guide 2022-2023,$27.09
4.8 out of 5 stars,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",$29.99
4.8 out of 5 stars,The 5 Love Languages: The Secret to Love that Lasts,$5.99
4.6 out of 5 stars,Confess: A Novel,$7.57
4.8 out of 5 stars,Junie B. Jones's First Boxed Set Ever! (Books 1-4),$10.49
4.9 out of 5 stars,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (w/poster) (Percy Jackson & the Olympians),$10.99
4.8 out of 5 stars,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",$18.80
4.6 out of 5 stars,Maybe Someday (1),$9.59
4.6 out of 5 stars,Maybe Now: A Novel (Maybe Someday),$9.99
4.7 out of 5 stars,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",$13.29
4.7 out of 5 stars,101 Essays That Will Change The Way You Think,$15.99
4.7 out of 5 stars,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,$25.64
4.6 out of 5 stars,"Diagnostic and Statistical Manual of Mental Disorders, Text Revision Dsm-5-tr",$53.56
4.5 out of 5 stars,"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm)",$153.00
4.8 out of 5 stars,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",$14.79
4.7 out of 5 stars,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",$13.39
4.4 out of 5 stars,Maybe Not: A Novella (2) (Maybe Someday),$10.37
4.8 out of 5 stars,The Spooky Wheels on the Bus,$8.89
4.7 out of 5 stars,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,$3.99
4.9 out of 5 stars,Love You Forever,$7.68
4.7 out of 5 stars,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,$4.98
4.7 out of 5 stars,Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love,$13.29
4.8 out of 5 stars,Paint by Sticker Kids: Halloween: Create 10 Pictures One Sticker at a Time! Includes Glow-in-the-Dark Stickers,$13.58
4.8 out of 5 stars,All About Love: New Visions,$8.59
4.7 out of 5 stars,Man's Search for Meaning,$12.83
4.6 out of 5 stars,NO GRID Survival Projects,$37.00
4.7 out of 5 stars,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,$12.64
4.5 out of 5 stars,Regretting You,$10.55
4.8 out of 5 stars,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",$12.49
4.8 out of 5 stars,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",$11.00
4.7 out of 5 stars,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",$17.09
4.8 out of 5 stars,The Outsiders,$8.46
4.8 out of 5 stars,Home,$15.36
4.8 out of 5 stars,"The 2023 Old Farmer's Almanac Trade Edition (Old Farmer's Almanac, 231)",$7.96
4.8 out of 5 stars,Publication Manual (OFFICIAL) 7th Edition of the American Psychological Association,$11.50
4.8 out of 5 stars,To Kill a Mockingbird,$22.32
4.5 out of 5 stars,The Housemaid,$7.19
4.6 out of 5 stars,"ATI TEAS Secrets Study Guide: TEAS 7 Prep Book, Six Full-Length Practice Tests (1,000+ Questions), Step-by-Step Video Tutorials: [Updated for the 7th Edition]",$9.98
4.8 out of 5 stars,Can't Hurt Me: Master Your Mind and Defy the Odds,$35.49
4.7 out of 5 stars,The Lost Book of Herbal Remedies,$17.99
4.6 out of 5 stars,Burn After Writing (Pink),$42.00
4.8 out of 5 stars,"Bob Books, Set 1: Beginning Readers",$15.02
4.7 out of 5 stars,"How To Draw 101 Cute Stuff For Kids: Simple and Easy Step-by-Step Guide Book to Draw Everything like Animals, Gift, Avocado and more with Cute Style",$9.99
4.6 out of 5 stars,"Princeton Review SAT Premium Prep, 2023: 9 Practice Tests + Review & Techniques + Online Tools (College Test Preparation)",$26.99
4.9 out of 5 stars,"Mountain Cookin' with Missy: Nothin' Fancy, Just Good Eatin'",$26.99
4.7 out of 5 stars,Fahrenheit 451,$8.29
4.6 out of 5 stars,Everyone Feels Angry Sometimes - An Anger Management Book for Kids that Teaches Essential Steps to Manage Anger & Frustration - A Psychologist Recommended Book for Children Ages 3-10,$13.49
4.8 out of 5 stars,Trapped in a Video Game: The Complete Series,$25.93
4.2 out of 5 stars,Layla,$8.97
4.8 out of 5 stars,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,$17.99
4.7 out of 5 stars,The Power of Now: A Guide to Spiritual Enlightenment,$7.51
4.8 out of 5 stars,Meditations: A New Translation,$7.99
4.6 out of 5 stars,Icebreaker,$15.75
4.6 out of 5 stars,The Power of Positive Thinking,$8.99
4.9 out of 5 stars,The Baby-sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),$38.30
4.7 out of 5 stars,The Big Book of Silly Jokes for Kids,$5.99
4.6 out of 5 stars,Heart Bones,$14.99
4.8 out of 5 stars,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 25th Anniversary Edition",$7.51
4.8 out of 5 stars,"A Court of Silver Flames (A Court of Thorns and Roses, 5)",$14.63
4.7 out of 5 stars,The January 6 Report,$13.99
4.7 out of 5 stars,"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",$9.59
4.6 out of 5 stars,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),$7.49
4.4 out of 5 stars,Lord of the Flies,$5.99
4.6 out of 5 stars,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,$10.90
4.4 out of 5 stars,All Your Perfects: A Novel,$10.31
4.7 out of 5 stars,The Perfect Marriage: a completely gripping psychological suspense,$13.99
4.8 out of 5 stars,Relentless: From Good to Great to Unstoppable (Tim Grover Winning Series),$11.89
4.6 out of 5 stars,12 Rules for Life: An Antidote to Chaos,$12.94
4.8 out of 5 stars,"Anxiety Relief Adult Coloring Book: Over 100 Pages of Mindfulness and anti-stress Coloring To Soothe Anxiety featuring Beautiful and Magical Scenes, ... | Adult Coloring Book (Anxiety Coloring Book)",$5.99
4.7 out of 5 stars,The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series),$12.26
4.7 out of 5 stars,Saunders Comprehensive Review for the NCLEX-RNÂ® Examination,$27.21
4.7 out of 5 stars,The Complete Summer I Turned Pretty Trilogy: The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,$59.99
